exception_id,payment_id,customer_id,account_id,exception_timestamp,exception_date,exception_type,exception_reason_code,exception_reason_description,severity,exception_status,assigned_team,assigned_analyst_id,resolution_status,resolution_code,resolved_timestamp,sla_due_timestamp,high_value_flag,requires_manual_review
EXC_DEMO_001,PAY_DEMO_001,CUST_DEMO_001,ACCT_DEMO_001,2026-03-11T09:35:00,2026-03-11,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A02,RESOLVED,SYN_MANAGER_REVIEWED,2026-03-11T14:50:00,2026-03-11T13:35:00,TRUE,TRUE
EXC_SYN_0000002,PAY_SYN_0006975,CUST_SYN_000076,ACCT_SYN_000076,2025-12-18T14:26:00,2025-12-18,ROUTING,R003,Beneficiary routing information requires correction,MEDIUM,RESOLVED,TEAM_SYN_003,USER_SYN_003_A03,RESOLVED,SYN_RESOLVED,2025-12-18T17:26:00,2025-12-18T22:26:00,FALSE,TRUE
EXC_SYN_0000003,PAY_SYN_0024244,CUST_SYN_000029,ACCT_SYN_000029,2026-01-17T13:22:00,2026-01-17,CUTOFF,R004,Payment missed the processing cutoff,LOW,RESOLVED,TEAM_SYN_004,USER_SYN_004_A04,RESOLVED,SYN_RESOLVED,2026-01-17T14:22:00,2026-01-17T21:22:00,FALSE,FALSE
EXC_SYN_0000004,PAY_SYN_0013032,CUST_SYN_000685,ACCT_SYN_000685,2025-11-25T11:31:00,2025-11-25,SANCTIONS_SCREENING,R005,Synthetic screening review pending,HIGH,OPEN,TEAM_SYN_005,USER_SYN_005_A01,UNRESOLVED,,,2025-11-25T15:31:00,FALSE,TRUE
EXC_SYN_0000005,PAY_SYN_0003716,CUST_SYN_000993,ACCT_SYN_000993,2025-11-19T15:52:00,2025-11-19,DUPLICATE,R006,Potential duplicate payment instruction,HIGH,RESOLVED,TEAM_SYN_001,USER_SYN_001_A02,RESOLVED,SYN_RESOLVED,2025-11-19T18:52:00,2025-11-19T19:52:00,TRUE,TRUE
EXC_SYN_0000006,PAY_SYN_0024171,CUST_SYN_000328,ACCT_SYN_000328,2025-11-25T11:30:00,2025-11-25,SYSTEM,R007,Processing system unavailable,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A03,RESOLVED,SYN_RESOLVED,2025-11-25T12:30:00,2025-11-25T19:30:00,FALSE,FALSE
EXC_SYN_0000007,PAY_SYN_0011473,CUST_SYN_000002,ACCT_SYN_000002,2026-01-20T13:17:00,2026-01-20,AUTHORIZATION,R008,Required payment authorization incomplete,HIGH,RESOLVED,TEAM_SYN_003,USER_SYN_003_A04,RESOLVED,SYN_RESOLVED,2026-01-20T17:54:00,2026-01-20T17:17:00,FALSE,TRUE
EXC_SYN_0000008,PAY_SYN_0002744,CUST_SYN_000029,ACCT_SYN_001029,2026-03-05T14:07:00,2026-03-05,BENEFICIARY,R009,Beneficiary details require review,MEDIUM,OPEN,TEAM_SYN_004,USER_SYN_004_A01,UNRESOLVED,,,2026-03-05T22:07:00,FALSE,TRUE
EXC_SYN_0000009,PAY_SYN_0011532,CUST_SYN_000685,ACCT_SYN_000685,2026-02-03T12:36:00,2026-02-03,CURRENCY,R010,Currency handling exception,MEDIUM,RESOLVED,TEAM_SYN_005,USER_SYN_005_A02,RESOLVED,SYN_RESOLVED,2026-02-03T13:36:00,2026-02-03T20:36:00,TRUE,TRUE
EXC_SYN_0000010,PAY_SYN_0010061,CUST_SYN_000258,ACCT_SYN_000258,2026-01-28T12:12:00,2026-01-28,SETTLEMENT,R011,Settlement confirmation delayed,LOW,RESOLVED,TEAM_SYN_001,USER_SYN_001_A03,RESOLVED,SYN_RESOLVED,2026-01-28T14:12:00,2026-01-28T20:12:00,FALSE,FALSE
EXC_SYN_0000011,PAY_SYN_0020118,CUST_SYN_000367,ACCT_SYN_000367,2026-02-04T18:44:00,2026-02-04,VALIDATION,R001,Payment instruction failed validation,MEDIUM,RESOLVED,TEAM_SYN_002,USER_SYN_002_A04,RESOLVED,SYN_RESOLVED,2026-02-04T21:44:00,2026-02-05T02:44:00,TRUE,TRUE
